FlexPDE Version 6.36s/W32  14:13:44 Jan  8 2015
(Times listed are wall-clock times, not charged CPU).

START E:\Class Materials\2022 Fall\Eng Phys 2CD4\Topic 2\Final version\Topic-2-2CD4-Group\New folder\group lab 2cd4 flex.pde  19:15:20 10/4/22
Using 1 Thread(s)
 +00:00:00| STEP FAILED. RETRY at Dt= 1.000e-4
 +00:00:00| Step 2 Time= 2.000e-4 Dt= 1.000e-4 Nodes=5 Cells=2 RMS ERR= 1.172e-9 MAX ERR= 1.172e-9 TIME ERR= 0.002922 MEM=703
 +00:00:00| Step 3 Time= 3.000e-4 Dt= 1.000e-4 Nodes=5 Cells=2 RMS ERR= 1.064e-9 MAX ERR= 1.064e-9 TIME ERR= 3.444e-4 MEM=703
 +00:00:00| Step 4 Time= 4.122e-4 Dt= 1.122e-4 Nodes=5 Cells=2 RMS ERR= 1.790e-9 MAX ERR= 1.790e-9 TIME ERR= 2.999e-4 MEM=703
 +00:00:00| Step 5 Time= 5.381e-4 Dt= 1.259e-4 Nodes=5 Cells=2 RMS ERR= 3.924e-9 MAX ERR= 3.924e-9 TIME ERR= 1.164e-4 MEM=703
 +00:00:00| Step 6 Time= 6.793e-4 Dt= 1.413e-4 Nodes=5 Cells=2 RMS ERR= 7.525e-9 MAX ERR= 7.525e-9 TIME ERR= 4.516e-5 MEM=703
 +00:00:00| Step 7 Time= 8.378e-4 Dt= 1.585e-4 Nodes=5 Cells=2 RMS ERR= 1.369e-8 MAX ERR= 1.369e-8 TIME ERR= 1.753e-5 MEM=703
 +00:00:00| Step 8 Time= 0.001016 Dt= 1.778e-4 Nodes=5 Cells=2 RMS ERR= 2.451e-8 MAX ERR= 2.451e-8 TIME ERR= 6.801e-6 MEM=703
 +00:00:00| Step 9 Time= 0.001215 Dt= 1.995e-4 Nodes=5 Cells=2 RMS ERR= 4.350e-8 MAX ERR= 4.350e-8 TIME ERR= 4.135e-6 MEM=703
 +00:00:00| Step 10 Time= 0.001439 Dt= 2.239e-4 Nodes=5 Cells=2 RMS ERR= 6.536e-8 MAX ERR= 6.536e-8 TIME ERR= 7.082e-6 MEM=704
 +00:00:00| Step 11 Time= 0.001690 Dt= 2.512e-4 Nodes=5 Cells=2 RMS ERR= 9.897e-8 MAX ERR= 9.897e-8 TIME ERR= 1.198e-5 MEM=704
 +00:00:00| Step 12 Time= 0.001972 Dt= 2.818e-4 Nodes=5 Cells=2 RMS ERR= 1.509e-7 MAX ERR= 1.509e-7 TIME ERR= 2.006e-5 MEM=704
 +00:00:00| Step 13 Time= 0.002288 Dt= 3.162e-4 Nodes=5 Cells=2 RMS ERR= 2.312e-7 MAX ERR= 2.312e-7 TIME ERR= 3.331e-5 MEM=704
 +00:00:00| Step 14 Time= 0.002643 Dt= 3.548e-4 Nodes=5 Cells=2 RMS ERR= 3.559e-7 MAX ERR= 3.559e-7 TIME ERR= 5.495e-5 MEM=704
 +00:00:00| Step 15 Time= 0.003041 Dt= 3.981e-4 Nodes=5 Cells=2 RMS ERR= 5.499e-7 MAX ERR= 5.499e-7 TIME ERR= 9.014e-5 MEM=704
 +00:00:00| Step 16 Time= 0.003488 Dt= 4.467e-4 Nodes=5 Cells=2 RMS ERR= 8.523e-7 MAX ERR= 8.524e-7 TIME ERR= 1.472e-4 MEM=704
 +00:00:00| Step 17 Time= 0.003989 Dt= 5.012e-4 Nodes=5 Cells=2 RMS ERR= 1.325e-6 MAX ERR= 1.325e-6 TIME ERR= 2.394e-4 MEM=704
